Latitude,Longitude,ID
43.594,1.542,44827
43.594,1.543,44827
43.594,1.542,44827
43.563,1.535,44827
43.675,1.86,44827
43.684,1.867,44827
43.684,1.867,44827
43.684,1.867,44827
43.684,1.868,44827
43.684,1.869,44827
43.684,1.869,44827
43.683,1.873,44827
43.684,1.874,44827
43.687,1.876,44827
43.686,1.875,44827
43.681,1.874,44827
43.684,1.874,44827
43.685,1.877,44827
43.685,1.877,44827
43.685,1.877,44827
43.683,1.872,44827
43.686,1.877,44827
43.686,1.877,44827
43.683,1.877,44827
43.683,1.874,44827
43.686,1.877,44827
43.685,1.878,44827
43.683,1.879,44827
43.683,1.872,44827
43.685,1.877,44827
43.685,1.877,44827
43.685,1.877,44827
43.685,1.881,44827
43.685,1.88,44827
43.685,1.881,44827
43.689,1.889,44827
43.681,1.873,44827
43.686,1.875,44827
43.685,1.875,44827
43.683,1.873,44827
43.682,1.871,44827
43.685,1.869,44827
43.684,1.869,44827
43.662,1.874,44827
43.683,1.869,44827
43.684,1.866,44827
43.685,1.866,44827
43.685,1.866,44827
43.782,2.059,44827
43.799,2.061,44827
43.799,2.061,44827
43.798,2.061,44827
43.718,1.888,44827
43.684,1.867,44827
43.684,1.867,44827
43.683,1.869,44827
43.681,1.874,44827
43.686,1.875,44827
43.686,1.875,44827
43.684,1.874,44827
43.682,1.873,44827
43.685,1.869,44827
43.685,1.869,44827
43.681,1.875,44827
44.003,1.285,44827
43.99,1.219,44827
43.99,1.219,44827
43.99,1.217,44827
43.982,1.236,44827
43.99,1.22,44827
43.99,1.22,44827
43.99,1.221,44827
43.989,1.221,44827
43.99,1.221,44827
43.991,1.221,44827
43.989,1.221,44827
43.709,1.828,44827
43.684,1.869,44827
43.684,1.869,44827
43.682,1.874,44827
43.589,1.91,44827
43.686,1.876,44827
43.686,1.876,44827
43.686,1.876,44827
43.685,1.87,44827
43.685,1.876,44827
43.685,1.876,44827
43.685,1.876,44827
43.683,1.874,44827
43.686,1.876,44827
43.686,1.876,44827
43.686,1.876,44827
43.683,1.874,44827
43.685,1.875,44827
43.69,1.877,44827
43.685,1.875,44827
43.684,1.867,44827
43.684,1.867,44827
43.684,1.867,44827
43.684,1.867,44827
43.684,1.875,44827
43.686,1.87,44827
43.685,1.87,44827
43.68,1.877,44827
43.682,1.873,44827
43.685,1.868,44827
43.685,1.868,44827
43.682,1.873,44827
43.686,1.876,44827
43.686,1.876,44827
43.686,1.876,44827
43.686,1.876,44827
43.681,1.875,44827
43.686,1.876,44827
43.686,1.876,44827
43.685,1.876,44827
43.681,1.875,44827
43.687,1.876,44827
43.686,1.876,44827
43.687,1.876,44827
43.801,1.523,44827
43.991,1.219,44827
43.991,1.219,44827
43.991,1.219,44827
44.022,1.269,44827
43.99,1.221,44827
43.99,1.221,44827
43.987,1.221,44827
43.991,1.218,44827
43.991,1.219,44827
43.991,1.219,44827
43.989,1.218,44827
44.06,1.217,44827
43.991,1.219,44827
43.991,1.219,44827
43.991,1.219,44827
43.99,1.217,44827
43.991,1.218,44827
43.99,1.218,44827
43.987,1.214,44827
43.983,1.222,44827
43.99,1.221,44827
43.99,1.221,44827
43.994,1.222,44827
43.995,1.209,44827
43.991,1.219,44827
43.991,1.219,44827
43.991,1.219,44827
43.983,1.221,44827
43.99,1.219,44827
43.99,1.219,44827
43.992,1.219,44827
43.991,1.211,44827
43.99,1.21,44827
43.99,1.21,44827
43.971,1.19,44827
43.61,0.626,44827
43.607,0.626,44827
43.607,0.626,44827
43.607,0.623,44827
43.639,1.055,44827
43.753,1.201,44827
43.753,1.201,44827
43.743,1.201,44827
43.982,1.222,44827
43.99,1.219,44827
43.991,1.219,44827
43.991,1.219,44827
43.987,1.22,44827
43.99,1.219,44827
43.99,1.219,44827
43.992,1.219,44827
43.98,1.236,44827
43.991,1.219,44827
43.991,1.219,44827
43.992,1.219,44827
43.991,1.219,44827
43.991,1.219,44827
43.99,1.219,44827
43.992,1.219,44827
43.995,1.211,44827
43.991,1.219,44827
43.991,1.219,44827
43.991,1.219,44827
43.996,1.268,44827
43.99,1.22,44827
43.99,1.22,44827
43.99,1.22,44827
43.61,0.626,44827
43.606,0.625,44827
43.606,0.625,44827
43.607,0.622,44827
43.61,0.624,44827
43.607,0.628,44827
43.607,0.628,44827
43.61,0.628,44827
43.605,0.624,44827
43.607,0.627,44827
43.607,0.627,44827
43.603,0.622,44827
43.61,0.625,44827
43.607,0.628,44827
43.607,0.628,44827
43.61,0.624,44827
43.61,0.626,44827
43.607,0.627,44827
43.607,0.627,44827
43.607,0.622,44827
43.609,0.622,44827
43.607,0.627,44827
43.607,0.627,44827
43.607,0.622,44827
43.598,0.622,44827
43.607,0.626,44827
43.607,0.626,44827
43.606,0.622,44827
43.444,0.733,44827
43.607,0.629,44827
43.607,0.629,44827
43.608,0.628,44827
43.577,0.672,44827
43.607,0.63,44827
43.607,0.63,44827
43.605,0.63,44827
43.606,0.632,44827
43.607,0.628,44827
43.607,0.628,44827
43.61,0.626,44827
43.599,0.634,44827
43.606,0.626,44827
43.606,0.626,44827
43.604,0.623,44827
43.608,0.628,44827
43.607,0.627,44827
43.607,0.627,44827
43.605,0.621,44827
43.61,0.628,44827
43.607,0.629,44827
43.607,0.629,44827
43.607,0.628,44827
43.609,0.631,44827
43.607,0.629,44827
43.607,0.629,44827
43.61,0.628,44827
43.609,0.596,44827
43.607,0.598,44827
43.607,0.598,44827
43.693,0.515,44827
43.163,0.761,44827
43.159,0.758,44827
43.159,0.758,44827
43.161,0.763,44827
43.159,0.758,44827
43.163,0.756,44827
43.163,0.756,44827
43.161,0.763,44827
43.163,0.76,44827
43.165,0.754,44827
43.165,0.754,44827
43.163,0.761,44827
43.163,0.758,44827
43.163,0.755,44827
43.163,0.755,44827
43.163,0.758,44827
43.168,0.753,44827
43.163,0.751,44827
43.163,0.751,44827
43.16,0.751,44827
43.054,-0.107,44827
43.154,0.055,44827
43.154,0.055,44827
43.153,0.06,44827
42.512,-0.947,44827
41.819,-1.216,44827
41.819,-1.216,44827
41.788,-1.239,44827
41.747,-1.2,44827
41.729,-1.174,44827
41.729,-1.174,44827
41.693,-1.171,44827
41.303,-1.055,44827
41.69,-1.088,44827
41.69,-1.087,44827
41.641,-1.088,44827
41.75,-1.195,44827
41.753,-1.196,44827
41.753,-1.196,44827
41.749,-1.194,44827
41.757,-1.2,44827
41.757,-1.198,44827
41.757,-1.198,44827
41.76,-1.198,44827
41.742,-1.214,44827
41.759,-1.204,44827
41.759,-1.204,44827
41.759,-1.214,44827
41.747,-1.213,44827
41.759,-1.2,44827
41.759,-1.199,44827
41.74,-1.213,44827
40.403,-1.495,44827
40.163,-1.961,44827
40.163,-1.961,44827
39.859,-2.205,44827
38.549,-3.747,44827
37.844,-3.834,44827
37.844,-3.834,44827
37.835,-3.827,44827
37.838,-3.829,44827
37.844,-3.834,44827
37.844,-3.834,44827
37.836,-3.828,44827
37.83,-3.826,44827
37.845,-3.832,44827
37.845,-3.832,44827
37.835,-3.825,44827
37.841,-3.917,44827
37.844,-3.834,44827
37.844,-3.834,44827
37.834,-3.825,44827
37.523,-4.759,44827
37.505,-4.756,44827
37.505,-4.756,44827
37.504,-4.756,44827
37.496,-4.761,44827
37.499,-4.751,44827
37.5,-4.751,44827
37.504,-4.761,44827
37.513,-4.757,44827
37.499,-4.752,44827
37.499,-4.751,44827
37.504,-4.761,44827
